"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"heritability1",0.27057423744259,0.000442926554482341,0.0279143630113707,0.216405650610828,0.251706820889797,0.270344906146361,0.289498832304994,0.325765093612774,3971.84240188911,1.00050459474832
"heritability2",0.222651820408499,0.000481776595799771,0.0275492447340643,0.170373989087654,0.203783993978918,0.222122896237526,0.24086687237632,0.277762893180629,3269.85125419281,1.00088024394522
"cor_A[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_A[1,2]",0.363460300025343,0.00135062531572188,0.0766006241280251,0.205261569239961,0.313298184882521,0.366210783944334,0.416398385402111,0.504599490290622,3216.58361165258,1.00057696606389
"cor_A[2,1]",0.363460300025343,0.00135062531572188,0.0766006241280251,0.205261569239961,0.313298184882521,0.366210783944334,0.416398385402111,0.504599490290622,3216.58361165258,1.00057696606389
"cor_A[2,2]",1,6.38726921229829e-19,8.98480348431458e-17,1,1,1,1,1,19787.3084037514,0.999799979995999
"cor_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_E[1,2]",0.772749700802718,0.000982999531881553,0.0475825775252547,0.674942368619643,0.741123183612628,0.773819996469912,0.805437478296197,0.863058400031443,2343.09180829198,1.00159810491534
"cor_E[2,1]",0.772749700802718,0.000982999531881553,0.0475825775252547,0.674942368619643,0.741123183612628,0.773819996469912,0.805437478296197,0.863058400031443,2343.09180829198,1.00159810491534
"cor_E[2,2]",1,1.42136875560974e-19,2.01534219102641e-17,1,1,1,1,1,20104.0735589462,0.999799979995999
"cor_R[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_R[1,2]",0.420052591779508,0.000132581748783964,0.0151156485865364,0.390112839795507,0.409952999206306,0.419919721971653,0.430383421382913,0.449697598057487,12998.2859606748,1.00024459433771
"cor_R[2,1]",0.420052591779508,0.000132581748783964,0.0151156485865364,0.390112839795507,0.409952999206306,0.419919721971653,0.430383421382913,0.449697598057487,12998.2859606748,1.00024459433771
"cor_R[2,2]",1,6.64117754311301e-19,8.75234006794514e-17,1,1,1,1,1,17368.3349473615,0.999799979995999
"sd_A[1]",1.32037554875423,0.00122994025201902,0.0791397614393834,1.16548945715729,1.26732470366073,1.32006516287303,1.37358775775718,1.47462130853535,4140.20117179486,1.00035651103246
"sd_A[2]",0.388376095350444,0.000458854467887585,0.0269365091625543,0.335708888063796,0.370342451803827,0.388241549902927,0.406348877384568,0.441548100369241,3446.13824552408,1.00079656220295
"sd_E[1]",1.18975847587701,0.00102589900635046,0.0701802645827726,1.05219794535675,1.14279531590589,1.18966343355763,1.23686003683787,1.32773084795235,4679.72986138854,1.00077457395596
"sd_E[2]",0.429639914469773,0.000334389846818266,0.0214502389614813,0.387517603683328,0.415271605127896,0.429757275106567,0.444264264712732,0.471162281440247,4114.88881230837,1.00119113608312
"sd_R[1]",1.81297387216118,0.000208431189480815,0.0237635443840891,1.76658831061549,1.79671412538283,1.81281998490541,1.82869854559664,1.86041724080999,12998.6131883891,0.999973817035675
"sd_R[2]",0.585698631601893,6.69840852760729e-05,0.00772257092037267,0.570714568404294,0.580461436544133,0.585629357637641,0.59084374807404,0.601170082677427,13291.7005514563,1.0001367387503
