id dam sire LLRdam LLRsire LLRpair OHdam OHsire MEpair ringnr damringnr sireringnr 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
8L19548_A20_B1 F0046 8857609_E7_B1 11.15 10.55 22.03 NA 0 NA 8L19548 F0046 8857609 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19549_A4_B1 F0019 M0126 17.65 19.31 23.19 NA NA NA 8L19549 F0019 M0126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19550_C20_B1 F0019 M0126 24.18 16.77 27.03 NA NA NA 8L19550 F0019 M0126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19551_E20_B1 F0019 M0126 18.11 12.79 18.46 NA NA NA 8L19551 F0019 M0126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19552_G20_B1 F0019 M0126 21.43 15.85 24.59 NA NA NA 8L19552 F0019 M0126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19553_I20_B1 F0019 M0126 21.87 20.49 26.09 NA NA NA 8L19553 F0019 M0126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19555_C4_B1 F0249 M0233 15.35 6.42 14.71 NA NA NA 8L19555 F0249 M0233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19556_E4_B1 F0249 M0233 15.17 4.39 16.41 NA NA NA 8L19556 F0249 M0233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19557_K20_B1 F0249 M0233 16.44 4.55 19.72 NA NA NA 8L19557 F0249 M0233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19558_M20_B1 F0249 8L52203_E14_B1 12.19 8.93 29.83 NA 0 NA 8L19558 F0249 8L52203 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19559_G4_B1 F0370 8934413_P6_B4 2.36 11.36 5.29 NA 0 NA 8L19559 F0370 8934413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.239 0.384 0.376 0 0 0 0 0 0 0 0 0 0 0 0 0
8L19560_O20_B1 8L52272 M0133 30.46 12.75 19.84 0 NA NA 8L19560 8L52272 M0133 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19561 8L52272 NA 28.26 NA NA 1 NA NA 8L19561 8L52272 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19562_A22_B1 F0060 8L30807 16.81 37.67 29.35 NA 0 NA 8L19562 F0060 8L30807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19563_C22_B1 F0060 8L30807 19.71 37.63 32.37 NA 0 NA 8L19563 F0060 8L30807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19564 F0060 8L30807 19.26 33.14 34.38 NA 1 NA 8L19564 F0060 8L30807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19565_E22_B1 F0060 8L30807 16.83 35.35 31.82 NA 1 NA 8L19565 F0060 8L30807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19566_G22_B1 F0060 8L30807 20.13 32.7 35.49 NA 1 NA 8L19566 F0060 8L30807 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19568 8M31112 8L52283 23.74 26.1 38.39 0 0 0 8L19568 8M31112 8L52283 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
