,Year_ID_Location,Year_ID,ID,Year_Location,Year,Location,Island,in_out,Least_age,Least_hatchyear,filled,obs,capt,gene_new,Sex,Own_survival,N_Recruits,r2s,parent_in_pedigree,present_in_pedigree,ever_a_parent,ringed_ad_recorded,estimated_pop_size,observed_breeding_popsize,ringnr,flok,flokyear,Island_ID,Year2,IslandYear_ID,ob,ringnr_year,Experienced_breeder,sex,IslandFitness,IslandYearFitness,IslandYearSigma_w,RelPop,logPop,VarIslandYearFitness,w,IDYear
6025,2011_8L89377_hestmannøy,2011_8L89377,2317,2011_hestmannøy,14,HestmannÃ¸y,27,0,4,2007,no,obs,NA,NA,m,1,2,4,yes,yes,yes,226,283,245,8L89377,27,272 011,6,14,116,5997,8L89377 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,2,3499
6033,2011_8L89384_hestmannøy,2011_8L89384,2319,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,no,yes,yes,226,283,245,8L89384,27,272 011,6,14,116,6005,8L89384 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3507
6037,2011_8L89387_hestmannøy,2011_8L89387,2321,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,f,1,3,5,yes,yes,yes,226,283,245,8L89387,27,272 011,6,14,116,6009,8L89387 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,2.5,3514
6042,2011_8L89388_hestmannøy,2011_8L89388,2322,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,m,1,2,4,yes,yes,yes,226,283,245,8L89388,27,272 011,6,14,116,6014,8L89388 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,2,3519
6046,2011_8L89389_hestmannøy,2011_8L89389,2323,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,1,1,yes,yes,yes,226,283,245,8L89389,27,272 011,6,14,116,6018,8L89389 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3523
6069,2011_8L89411_hestmannøy,2011_8L89411,2328,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,0,0,no,yes,never,226,283,245,8L89411,27,272 011,6,14,116,6041,8L89411 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3545
6074,2011_8L89430_hestmannøy,2011_8L89430,2331,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,m,0,2,2,yes,yes,yes,226,283,245,8L89430,27,272 011,6,14,116,6046,8L89430 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3553
6106,2011_8L89502_hestmannøy,2011_8L89502,2346,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,yes,NA,NA,NA,f,1,0,2,no,yes,yes,226,283,245,8L89502,27,272 011,6,14,116,6078,8L89502 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3584
6110,2011_8L89503_hestmannøy,2011_8L89503,2347,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,yes,yes,yes,226,283,245,8L89503,27,272 011,6,14,116,6082,8L89503 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3588
6114,2011_8L89507_hestmannøy,2011_8L89507,2348,2011_hestmannøy,14,HestmannÃ¸y,27,0,4,2007,no,obs,NA,NA,f,1,3,5,yes,yes,yes,226,283,245,8L89507,27,272 011,6,14,116,6086,8L89507 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,2.5,3592
